model,params,params_json,f1
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(1024, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(512, 1024, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(1024, 1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(256, 1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853402047412844
MLP,"layers=(1024, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853325060061149
MLP,"layers=(1024, 256, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853325060061149
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853323850798194
MLP,"layers=(1024, 512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853313132729915
MLP,"layers=(256, 512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853305569736412
MLP,"layers=(256, 512, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853305569736412
MLP,"layers=(256, 512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853305569736412
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853305569736412
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853305569736412
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853224288921033
MLP,"layers=(256, 256, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853224285758572
MLP,"layers=(1024, 256, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853224285758572
MLP,"layers=(256, 256, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853224285758572
MLP,"layers=(256, 1024, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853223742170439
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9840585211466039
SVM,C=10  gamma=scale  kernel=rbf,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.9840438561401949
SVM,C=100  gamma=scale  kernel=rbf,"{""C"": 100, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.9840438561401949
