model,params,params_json,f1
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893417461196474
SVM,C=100  gamma=auto  kernel=sigmoid,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}",0.9893416915995489
MLP,"layers=(1024, 1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893416868577543
MLP,"layers=(1024, 1024, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893416868577543
MLP,"layers=(256, 512, 1024)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(256, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9893415754150476
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893415706732533
MLP,"layers=(512, 256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893415706732533
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.0  lr=0.01","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.01}",0.9893414521494672
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893412767030728
MLP,"layers=(256, 256, 256)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893412767030728
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893412719612785
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 1024, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893412719612785
MLP,"layers=(256, 1024, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893412719612785
